iter	Logloss
0	0.6414713375
1	0.5958437001
2	0.5567990694
3	0.5218249531
4	0.4898332433
5	0.4627388335
6	0.4381521524
7	0.4173584201
8	0.3989097997
9	0.3836760104
10	0.3691993985
11	0.3563670557
12	0.3454089417
13	0.3354684931
14	0.3266273481
15	0.3187030558
16	0.3120413352
17	0.306007714
18	0.3008058641
19	0.295642332
20	0.2913145739
21	0.2872112601
22	0.2836479142
23	0.2804498342
24	0.2776000717
25	0.275024232
26	0.2725961093
27	0.2706709302
28	0.2688909146
29	0.2673473989
30	0.2657101147
31	0.2641174034
32	0.2627931479
33	0.261594046
34	0.2605032788
35	0.2595930185
36	0.258680748
37	0.2577796558
38	0.2570783
39	0.2564509806
40	0.2557731097
41	0.2552285661
42	0.2546080445
43	0.2539927912
44	0.2535824605
45	0.2531070308
46	0.2526447821
47	0.2522749502
48	0.2518802878
49	0.2515277948
50	0.251137571
51	0.2508097498
52	0.250550117
53	0.2501981551
54	0.2498475904
55	0.2495853536
56	0.2492958099
57	0.2490326228
58	0.2488642236
59	0.2486730877
60	0.2485213427
61	0.2483127884
62	0.248082827
63	0.2478555808
64	0.2476933636
65	0.2475121638
66	0.2473535682
67	0.2471446788
68	0.2469987642
69	0.2468694584
70	0.246691014
71	0.2465430483
72	0.24644222
73	0.2463029861
74	0.2461610693
75	0.2460398622
76	0.2459357823
77	0.2458331192
78	0.2457242587
79	0.2455809269
80	0.2454496404
81	0.2453286049
82	0.2452309852
83	0.2451323732
84	0.2450057593
85	0.2448817213
86	0.244753077
87	0.2446504317
88	0.2445560082
89	0.2444651197
90	0.2443486109
91	0.2442467792
92	0.2441126848
93	0.2440187122
94	0.2439445138
95	0.2438647581
96	0.2437940281
97	0.2437091168
98	0.2436496905
99	0.2435848497
100	0.2435030107
101	0.2434283379
102	0.2433500528
103	0.2433037403
104	0.2432380188
105	0.2431552029
106	0.2430773254
107	0.2430132787
108	0.2429497723
109	0.2428767347
110	0.2428362237
111	0.2427662752
112	0.2426974089
113	0.2426209126
114	0.2425614949
115	0.2424835039
116	0.2424169186
117	0.2423372012
118	0.2422658898
119	0.2422203522
120	0.2421382224
121	0.2420675597
122	0.241990029
123	0.2419188912
124	0.2418662457
125	0.2418134015
126	0.2417563958
127	0.2416880703
128	0.2416295287
129	0.2415623434
130	0.2415047512
131	0.241450981
132	0.2413908146
133	0.2413622058
134	0.2413225929
135	0.2412668848
136	0.2412049416
137	0.2411443146
138	0.2411012471
139	0.2410580476
140	0.2409972604
141	0.2409479342
142	0.240906104
143	0.2408675472
144	0.2408194599
145	0.2407851141
146	0.240743275
147	0.2407031838
148	0.2406711825
149	0.2406354176
150	0.2405947507
151	0.2405654548
152	0.2405106689
153	0.2404562822
154	0.2404075234
155	0.2403549674
156	0.2403236506
157	0.2402828338
158	0.2402490864
159	0.2401961462
160	0.2401652386
161	0.2401093648
162	0.2400636721
163	0.2400139757
164	0.2399729711
165	0.2399196271
166	0.2398727493
167	0.2398253313
168	0.2397851751
169	0.2397339727
170	0.2396930012
171	0.2396621859
172	0.2396265519
173	0.2395879561
174	0.2395594719
175	0.2395303161
176	0.2394811515
177	0.2394407454
178	0.2393855258
179	0.2393562495
180	0.2393329433
181	0.239300464
182	0.2392623244
183	0.2392280062
184	0.2391732701
185	0.2391304214
186	0.2390960056
187	0.2390549846
188	0.2390276072
189	0.2389867213
190	0.2389509796
191	0.2389110358
192	0.2388840764
193	0.2388501645
194	0.2388173757
195	0.2387891048
196	0.2387585412
197	0.2387252452
198	0.2386951115
199	0.2386642097
200	0.2386306525
201	0.2385991693
202	0.2385585659
203	0.2385308931
204	0.2385043152
205	0.2384645121
206	0.2384278457
207	0.2383813563
208	0.2383489038
209	0.2383057432
210	0.2382837757
211	0.2382486296
212	0.2382208774
213	0.238191744
214	0.2381619414
215	0.2381301658
216	0.2380862569
217	0.2380580711
218	0.2380264856
219	0.2379969805
220	0.2379710567
221	0.2379338409
222	0.2379039845
223	0.2378670401
224	0.2378254474
225	0.2377971811
226	0.2377749766
227	0.2377464196
228	0.2377313739
229	0.2376911638
230	0.2376672393
231	0.2376354383
232	0.2376014875
233	0.2375725371
234	0.2375489033
235	0.2375107111
236	0.2374787643
237	0.2374472025
238	0.237417075
239	0.2373942337
240	0.2373590251
241	0.2373232615
242	0.2372927484
243	0.2372732953
244	0.2372456431
245	0.2372014887
246	0.2371725079
247	0.2371560108
248	0.2371366755
249	0.2371095858
250	0.2370802045
251	0.2370292962
252	0.2370029984
253	0.2369743054
254	0.2369381852
255	0.2369003445
256	0.2368760632
257	0.2368496623
258	0.2368151177
259	0.2367906262
260	0.2367426015
261	0.2367152732
262	0.2366899127
263	0.2366608282
264	0.2366294857
265	0.2365990688
266	0.2365713017
267	0.2365404225
268	0.2365144844
269	0.2364787888
270	0.23644903
271	0.2364251548
272	0.2363989352
273	0.2363716989
274	0.236345429
275	0.2363187174
276	0.2362820016
277	0.2362533612
278	0.2362272224
279	0.2361918078
280	0.2361646815
281	0.236121441
282	0.2360897546
283	0.23607089
284	0.2360484093
285	0.2360016157
286	0.2359765622
287	0.2359463253
288	0.235909926
289	0.2358782468
290	0.2358546452
291	0.2358210257
292	0.2357940421
293	0.2357662224
294	0.2357345593
295	0.2357135891
296	0.2356747373
297	0.2356406438
298	0.2356175514
299	0.2355760031
300	0.2355573382
301	0.2355292502
302	0.2354974672
303	0.2354695001
304	0.2354406455
305	0.2354077353
306	0.2353852337
307	0.2353505891
308	0.2353178424
309	0.2352816089
310	0.2352486991
311	0.2352301936
312	0.2351967117
313	0.2351701428
314	0.235121458
315	0.2351006807
316	0.2350748958
317	0.2350377115
318	0.2350095368
319	0.2349764288
320	0.2349512237
321	0.234921843
322	0.2348968291
323	0.2348806408
324	0.2348471625
325	0.2348317661
326	0.2348058714
327	0.2347797006
328	0.2347547038
329	0.2347329922
330	0.2347136369
331	0.2346896039
332	0.2346666729
333	0.2346314482
334	0.2346058662
335	0.2345715391
336	0.2345532616
337	0.2345228284
338	0.2344976689
339	0.2344628485
340	0.234438055
341	0.2344069107
342	0.2343915004
343	0.2343690797
344	0.2343440148
345	0.2343269667
346	0.2343046513
347	0.2342755899
348	0.234261502
349	0.2342367842
350	0.2342081151
351	0.2341766673
352	0.2341544129
353	0.2341139253
354	0.2340816914
355	0.2340458848
356	0.2340221226
357	0.2339860551
358	0.2339542393
359	0.2339289011
360	0.2338980292
361	0.2338778557
362	0.2338543244
