iter	Passed	Remaining
0	41	41693
1	81	40754
2	121	40475
3	165	41185
4	208	41533
5	254	42186
6	301	42781
7	349	43328
8	394	43468
9	441	43732
10	499	44872
11	552	45507
12	599	45520
13	649	45746
14	696	45741
15	741	45628
16	785	45444
17	831	45374
18	875	45197
19	923	45259
20	972	45316
21	1022	45434
22	1066	45286
23	1113	45279
24	1155	45072
25	1197	44878
26	1243	44809
27	1289	44755
28	1331	44593
29	1376	44497
30	1421	44432
31	1467	44393
32	1515	44401
33	1558	44289
34	1601	44148
35	1651	44223
36	1700	44268
37	1751	44333
38	1800	44353
39	1842	44223
40	1887	44140
41	1927	43974
42	1973	43911
43	2019	43877
44	2061	43748
45	2106	43677
46	2155	43708
47	2201	43656
48	2244	43553
49	2286	43448
50	2331	43389
51	2374	43296
52	2418	43211
53	2468	43239
54	2512	43160
55	2560	43161
56	2604	43095
57	2646	42982
58	2688	42873
59	2728	42752
60	2771	42656
61	2820	42674
62	2877	42792
63	2925	42790
64	2971	42742
65	3012	42635
66	3058	42588
67	3101	42507
68	3143	42412
69	3187	42350
70	3233	42310
71	3281	42288
72	3320	42168
73	3361	42062
74	3408	42034
75	3449	41940
76	3488	41822
77	3529	41726
78	3576	41691
79	3621	41652
80	3667	41607
81	3709	41532
82	3753	41468
83	3803	41474
84	3852	41470
85	3897	41424
86	3948	41434
87	4002	41478
88	4046	41418
89	4095	41409
90	4140	41364
91	4182	41280
92	4230	41258
93	4276	41214
94	4316	41120
95	4362	41081
96	4402	40984
97	4454	40995
98	4494	40903
99	4534	40811
100	4578	40750
101	4620	40677
102	4665	40632
103	4707	40553
104	4749	40481
105	4793	40425
106	4834	40351
107	4876	40272
108	4918	40204
109	4966	40184
110	5004	40079
111	5046	40009
112	5095	39996
113	5147	40006
114	5196	39990
115	5245	39976
116	5288	39914
117	5333	39864
118	5375	39793
119	5416	39719
120	5460	39669
121	5508	39641
122	5554	39606
123	5597	39541
124	5639	39478
125	5683	39424
126	5727	39372
127	5772	39326
128	5814	39258
129	5861	39226
130	5904	39170
131	5951	39138
132	5993	39072
133	6035	39005
134	6077	38938
135	6117	38862
136	6161	38810
137	6207	38776
138	6251	38724
139	6296	38680
140	6346	38664
141	6395	38643
142	6439	38592
143	6483	38539
144	6526	38482
145	6564	38400
146	6605	38331
147	6647	38267
148	6685	38184
149	6723	38101
150	6765	38041
151	6804	37962
152	6848	37914
153	6893	37868
154	6937	37820
155	6982	37776
156	7024	37718
157	7070	37679
158	7112	37618
159	7154	37562
160	7195	37494
161	7243	37467
162	7285	37408
163	7328	37359
164	7369	37292
165	7412	37243
166	7462	37223
167	7517	37230
168	7564	37196
169	7604	37128
170	7648	37078
171	7689	37018
172	7730	36954
173	7774	36906
174	7819	36862
175	7861	36803
176	7908	36770
177	7950	36715
178	8001	36701
179	8042	36638
180	8081	36566
181	8122	36507
182	8165	36454
183	8206	36394
184	8251	36349
185	8296	36309
186	8339	36257
187	8383	36208
188	8422	36142
189	8463	36079
190	8506	36029
191	8550	35981
192	8592	35929
193	8640	35896
194	8686	35860
195	8728	35805
196	8772	35759
197	8813	35697
198	8854	35641
199	8893	35575
200	8938	35530
201	8977	35465
202	9021	35418
203	9062	35359
204	9100	35290
205	9142	35237
206	9182	35175
207	9227	35133
208	9268	35080
209	9315	35045
210	9358	34994
211	9403	34952
212	9443	34891
213	9486	34841
214	9530	34798
215	9570	34737
216	9612	34685
217	9654	34632
218	9694	34573
219	9741	34539
220	9787	34501
221	9840	34487
222	9887	34452
223	9930	34403
224	9977	34367
225	10020	34316
226	10061	34263
227	10105	34215
228	10145	34158
229	10189	34114
230	10228	34051
231	10272	34005
232	10315	33956
233	10356	33903
234	10396	33842
235	10444	33811
236	10487	33764
237	10533	33724
238	10575	33672
239	10612	33607
240	10654	33556
241	10696	33502
242	10737	33450
243	10775	33385
244	10813	33324
245	10862	33294
246	10912	33268
247	10953	33214
248	11000	33176
249	11043	33131
250	11085	33079
251	11133	33048
252	11170	32982
253	11210	32926
254	11258	32892
255	11303	32850
256	11346	32803
257	11386	32748
258	11430	32703
259	11471	32648
260	11516	32607
261	11555	32549
